lad,pop,hd_mort,edu_lv3,income,health_eat,community,fuel_poverty,gp_access,ae_attn,obesity,chd_emer_elec_ratio,test
E07000167,54920,28.72,65.60000000000001,20366,28.13067150635209,579.31,10,82.39621676300845,421.31211483459225,11.694353965144428,1.1954484605087015,FALSE
E07000168,108736,44.86,54.2,19703,25.99899063533898,867.26,11.6,85.9479937219689,483.5265840954678,12.562385980200913,1.3561786085150571,TRUE
E07000169,89106,38.15,59.699999999999996,20773,24.161415208975047,629.47,7.1,80.16054221696419,282.2758639957534,10.2696346073079,1.4295676429567643,FALSE
E07000170,127151,47.27,39.300000000000004,16405,21.23944953214218,775.12,9.3,77.05869416682918,334.7001646508741,13.30520913587002,1.4343163538873995,FALSE
E07000171,116839,38,48.9,16201,25.50445975538108,721.19,9.1,64.75050034477539,346.28679895861455,13.7011278400716,1.3694444444444445,FALSE
E07000172,113272,34.59,50.7,19301,30.152755046372064,718.83,8.6,91.19198262651713,312.3696425877111,12.5773556319562,2.0635593220338984,TRUE
E07000173,117786,29.88,54.50000000000001,19130,28.75846836706522,684.37,8.3,94.41538917761477,325.4895203104554,11.06674068341888,1.848722986247544,FALSE
E07000174,108841,41.37,46,16394,22.026334701068688,874.52,9.8,70.18578890352505,339.0909412400665,14.189323660642602,1.2275784753363228,TRUE
E07000175,121566,34.18,52.1,16353,27.21464287919007,617.95,9.1,70.41736468037607,367.47224033129424,13.265083360530427,1.1118963486454652,FALSE
E07000176,117671,27.52,69.10000000000001,20021,33.90587831901078,541.26,7.7,95.90026372572524,269.6086941425645,10.069934151015,2.0022935779816513,FALSE
E07000177,149161,31.28,54.6,23184,26.17136360504375,506.46,7.8,85.91567785650132,246.17717339617735,9.04356370782837,1.2463768115942029,FALSE
E07000178,154327,30.16,57.50000000000001,25585,32.26362092418645,640.2,11.7,85.91567785650132,246.17717339617735,9.04356370782837,1.2861230329041489,FALSE
E07000179,140504,20.58,63,23358,29.139978800699396,479.24,7.7,85.91567785650132,248.35500405278185,9.04356370782837,0.9469914040114613,FALSE
E07000180,133732,23.49,56.10000000000001,23042,26.924506897242058,442.87,7.4,85.07021444471135,246.23465006682648,9.137557289385889,1.1404320987654322,FALSE
E07000181,109800,23.34,62.8,22763,28.55765367617517,468.54,7.3,85.91567785650132,246.1771733961773,9.04356370782837,1.110632183908046,FALSE
E07000187,114881,26.36,58.199999999999996,19285,28.630492086582738,600.84,10.7,90.64434629997494,398.5097743731425,9.75789264846115,1.033939393939394,TRUE
E07000188,122791,32.64,53.900000000000006,18673,25.38799832658184,707.08,10.8,90.64434629997493,398.5097743731424,9.75789264846115,0.874468085106383,FALSE
E07000189,167861,28.48,54.6,18506,29.170126327026868,775.92,10.5,90.64434629997493,398.5097743731424,9.75789264846115,0.7851711026615968,FALSE
E07000192,100109,49.41,46.2,18283,21.383514246099654,923.51,10.8,72.82671700132276,412.66034537635363,12.2210365146383,1.1671701913393757,FALSE
E07000193,118574,38.05,56.10000000000001,18253,25.405277226869018,828.42,12.6,78.02412533574541,320.7335122001409,10.258704634576398,1.0840751730959446,FALSE
